,Amount.Requested,Amount.Funded.By.Investors,Loan.Length,Loan.Purpose,Modified.Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Modified.Employment.Length,Modified.Interest.Rate,Label
0,25000,25000,60 months,debt_consolidation,0.2756,VA,MORTGAGE,8606.56,722.0,11,15210,3.0,5.0,0.18489999999999998,Higher Interest Rate
1,19750,19750,60 months,debt_consolidation,0.13390000000000002,NY,MORTGAGE,6737.5,712.0,14,19070,3.0,4.0,0.1727,Higher Interest Rate
2,2100,2100,36 months,major_purchase,0.035,LA,OWN,1000.0,692.0,13,893,1.0,0.5,0.1433,Normal Interest Rate
3,28000,28000,36 months,credit_card,0.1962,NV,MORTGAGE,7083.33,712.0,12,38194,1.0,12.0,0.1629,Higher Interest Rate
4,24250,17431.82,60 months,credit_card,0.2379,OH,MORTGAGE,5833.33,732.0,6,31061,2.0,12.0,0.1223,Normal Interest Rate
6,16000,16000,60 months,credit_card,0.1127,CA,RENT,4791.67,667.0,5,8474,0.0,2.0,0.22469999999999998,Higher Interest Rate
7,6400,6400,36 months,major_purchase,0.0958,IL,RENT,6400.0,737.0,11,12306,1.0,0.5,0.0751,Lower Interest Rate
10,9000,9000,36 months,debt_consolidation,0.1376,CA,RENT,5166.67,712.0,10,6490,0.0,12.0,0.1016,Lower Interest Rate
11,13000,12975,60 months,home_improvement,0.0877,OH,MORTGAGE,10500.0,802.0,8,6810,0.0,12.0,0.0999,Lower Interest Rate
12,10000,10000,36 months,debt_consolidation,0.12240000000000001,NJ,RENT,2541.67,682.0,4,13667,0.0,8.0,0.1422,Normal Interest Rate
14,7350,7350,60 months,debt_consolidation,0.2982,WA,MORTGAGE,5000.0,747.0,15,15093,1.0,4.0,0.1074,Lower Interest Rate
15,17000,16975,60 months,debt_consolidation,0.12689999999999999,NC,MORTGAGE,4666.67,747.0,17,11677,2.0,12.0,0.1199,Normal Interest Rate
16,18825,18825,60 months,debt_consolidation,0.19219999999999998,CT,RENT,4583.33,682.0,8,17292,2.0,12.0,0.21,Higher Interest Rate
17,4200,4200,36 months,credit_card,0.1478,AK,RENT,2083.33,662.0,7,3690,0.0,0.5,0.1727,Higher Interest Rate
